Symbol
BTC-USD
ETH-USD
HEX-USD
USDT-USD
ADA-USD
BNB-USD
XRP-USD
SOL1-USD
USDC-USD
DOT1-USD
DOGE-USD
LUNA1-USD
UNI3-USD
AVAX-USD
LINK-USD
LTC-USD
ALGO-USD
BCH-USD
ATOM1-USD
MATIC-USD
ICP1-USD
FIL-USD
XLM-USD
VET-USD
TRX-USD
ETC-USD
XTZ-USD
THETA-USD
HBAR-USD
XMR-USD
EGLD-USD
CRO-USD
EOS-USD
AAVE-USD
QNT-USD
MIOTA-USD
GRT2-USD
SHIB-USD
KSM-USD
NEO-USD
WAVES-USD
BSV-USD
MKR-USD
BTT1-USD
AMP1-USD
CELO-USD
CCXX-USD
OMG-USD
COMP-USD
DASH-USD
HNT1-USD
ONE2-USD
RUNE-USD
CHZ-USD
XDC-USD
STX1-USD
AR-USD
CTC1-USD
TFUEL-USD
DCR-USD
ZEC-USD
HOT1-USD
TUSD-USD
XEM-USD
SUSHI-USD
MANA-USD
CEL-USD
SNX-USD
ENJ-USD
QTUM-USD
YFI-USD
ICX-USD
ZIL-USD
SRM-USD
CRV-USD
IOST-USD
BAT-USD
RVN-USD
BTG-USD
BNT-USD
ZEN-USD
ZRX-USD
SC-USD
XWC-USD
ONT-USD
DFI-USD
VGX-USD
DGB-USD
ANKR-USD
SAND-USD
NANO-USD
IOTX-USD
UMA-USD
FET-USD
COTI-USD
GLM-USD
KAVA-USD
LRC-USD
WAXP-USD
ARRR-USD
ETN-USD
RSR-USD
LSK-USD
GNO-USD
VTHO-USD
ERG-USD
STORJ-USD
CKB-USD
TWT-USD
XVG-USD
MED-USD
VLX-USD
CVC-USD
DAG-USD
BCD-USD
RLC-USD
ARDR-USD
SNT-USD
HIVE-USD
STRAX-USD
EWT-USD
BAND-USD
MLN-USD
MAID-USD
XCH-USD
KDA-USD
REP-USD
MIR1-USD
DERO-USD
OXT-USD
NKN-USD
ACH-USD
MTL-USD
FUN-USD
STEEM-USD
ARK-USD
NU-USD
TOMO-USD
SAPP-USD
PHA-USD
ANT-USD
SYS-USD
PAC-USD
WAN-USD
AVA-USD
VRA-USD
BAL-USD
BTS-USD
KIN-USD
KMD-USD
XNC-USD
META-USD
IRIS-USD
RBTC-USD
MCO-USD
DIVI-USD
MONA-USD
NRG-USD
DNT-USD
NYE-USD
ABBC-USD
GAS-USD
ELA-USD
DMCH-USD
TT-USD
RDD-USD
BTM-USD
HNS-USD
XHV-USD
AION-USD
REV-USD
ZEL-USD
WTC-USD
WOZX-USD
FIRO-USD
GRS-USD
FIO-USD
SBD-USD
SERO-USD
XCP-USD
ADX-USD
ZNN-USD
BCN-USD
BEAM-USD
APL-USD
CRU-USD
PCX-USD
MARO-USD
DGD-USD
BEPRO-USD
ATRI-USD
VERI-USD
AXEL-USD
NULS-USD
PIVX-USD
NXS-USD
ADK-USD
PPT-USD
PART-USD
GXC-USD
KRT-USD
VITE-USD
VSYS-USD
CTXC-USD
CET-USD
MWC-USD
FO-USD
NIM-USD
AE-USD
MASS-USD
FSN-USD
GO-USD
GRIN-USD
SRK-USD
VTC-USD
SOLVE-USD
MHC-USD
LOKI-USD
HC-USD
NAV-USD
WICC-USD
VAL1-USD
CUT-USD
QASH-USD
SKY-USD
NMC-USD
PAI-USD
ZANO-USD
LBC-USD
NAS-USD
NEBL-USD
PPC-USD
GBYTE-USD
WABI-USD
SALT-USD
GAME-USD
XSN-USD
RSTR-USD
BTC2-USD
QRL-USD
AMB-USD
FCT-USD
NXT-USD
BIP-USD
OBSR-USD
PZM-USD
DCN-USD
BHP-USD
ETP-USD
INSTAR-USD
MAN-USD
UBQ-USD
MRX-USD
TRUE-USD
CHI-USD
HPB-USD
PLC-USD
PAY-USD
LCC-USD
EMC2-USD
PI-USD
NLG-USD
BLOCK-USD
NVT-USD
TRTL-USD
INT-USD
DMD-USD
YOYOW-USD
GHOST1-USD
SCC3-USD
HTDF-USD
BHD-USD
RINGX-USD
POA-USD
QRK-USD
ACT-USD
SFT-USD
WGR-USD
DTEP-USD
XDN-USD
SMART-USD
AEON-USD
IDNA-USD
ZYN-USD
DNA1-USD
COLX-USD
CMT1-USD
XMC-USD
HTML-USD
DYN-USD
NYZO-USD
VEX-USD
FTC-USD
PMEER-USD
XMY-USD
VIA-USD
BLK-USD
WINGS-USD
TERA-USD
OTO-USD
BTX-USD
GRC-USD
FLO-USD
MIR-USD
XST-USD
VIN-USD
SCP-USD
USNBT-USD
POLIS-USD
ILC-USD
GLEEC-USD
IOC-USD
OWC-USD
GHOST-USD
CURE-USD
PHR-USD
DIME-USD
XLT-USD
GCC1-USD
FAIR-USD
AYA-USD
CRW-USD
TUBE-USD
SUB-USD
BCA-USD
BPS-USD
MGO-USD
SONO1-USD
XRC-USD
DDK-USD
NIX-USD
EDG-USD
ERK-USD
MBC-USD
XAS-USD
HYC-USD
XBY-USD
SNGLS-USD
BPC-USD
ATB-USD
FRST-USD
COMP1-USD
OURO-USD
ECC-USD
CLAM-USD
ECA-USD
ALIAS-USD
BONO-USD
FLASH-USD
UNO-USD
BDX-USD
CSC-USD
LKK-USD
MOAC-USD
NLC2-USD
RBY-USD
SPHR-USD
DACC-USD
HNC-USD
DUN-USD
XUC-USD
MINT-USD
AIB-USD
JDC-USD
CCA-USD
DCY-USD
MTC2-USD
SHIFT-USD
MIDAS-USD
SLS-USD
KNC-USD
BRC-USD
GRN-USD
LRG-USD
BONFIRE-USD
VBK-USD
BST-USD
